date,daily_vaccinations_CHI,daily_vaccinations_ISR
15/12/2020,
16/12/2020,187500,
17/12/2020,187500,
18/12/2020,187500,
19/12/2020,187500,
20/12/2020,187500,7303
21/12/2020,187500,16016
22/12/2020,187500,25409
23/12/2020,187500,34449
24/12/2020,187500,41960
25/12/2020,187500,41248
26/12/2020,187500,39924
27/12/2020,187500,53541
28/12/2020,187500,68852
29/12/2020,187500,84457
30/12/2020,187500,97022
31/12/2020,187500,108904
01/01/2021,232143,113574
02/01/2021,276786,119116
03/01/2021,321429,125259
04/01/2021,366071,126319
05/01/2021,410714,121935
06/01/2021,455357,114940
07/01/2021,500000,108990
08/01/2021,500000,108254
09/01/2021,500000,104409
10/01/2021,464286,89713
11/01/2021,428571,75424
12/01/2021,392857,66259
13/01/2021,357143,67121
14/01/2021,387755,68457
15/01/2021,418367,68495
16/01/2021,448980,70031
17/01/2021,515306,85385
18/01/2021,581633,106396
19/01/2021,647959,127580
20/01/2021,714286,143247
21/01/2021,770755,158459
22/01/2021,827224,164521
23/01/2021,883694,169976
24/01/2021,940163,177975
25/01/2021,996633,182391
26/01/2021,1053102,181398
27/01/2021,1109571,179166
28/01/2021,,176159
29/01/2021,,171853
