date,daily_vaccinations_ENG,daily_vaccinations_GER
20/12/2020,
21/12/2020,37897,
22/12/2020,37897,
23/12/2020,37897,
24/12/2020,37897,
25/12/2020,37897,
26/12/2020,37897,
27/12/2020,37897,
28/12/2020,39559,19838
29/12/2020,41221,31608
30/12/2020,42884,40428
31/12/2020,44546,39949
01/01/2021,46209,36846
02/01/2021,47871,39244
03/01/2021,49533,37183
04/01/2021,65958,41326
05/01/2021,82383,42498
06/01/2021,98808,42312
07/01/2021,115233,45106
08/01/2021,131658,50091
09/01/2021,148083,50567
10/01/2021,164508,51689
11/01/2021,161070,54115
12/01/2021,164375,58289
13/01/2021,176328,63791
14/01/2021,192776,69785
15/01/2021,215662,74425
16/01/2021,231763,74578
17/01/2021,230525,76341
18/01/2021,234877,77429
19/01/2021,251122,79120
20/01/2021,261507,82933
21/01/2021,272972,81950
22/01/2021,287384,84940
23/01/2021,311226,89569
24/01/2021,317419,92538
25/01/2021,326745,95651
26/01/2021,320880,96597
27/01/2021,311182,93318
28/01/2021,308977,93456
